test_name,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
tfFroz_cP1,-1.6806,-0.5689,38.5392,35.0022,817.66,-1.1248,36.7707,1.2392,0.3822,33.4396,42.5841,972.8775,1.0875,24.9060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2429,-0.7839,45.7122,37.3564,853.03,-1.5134,41.5343,1.4859,0.6515,30.5308,38.1920,1007.5000,1.3627,23.0953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6806,-0.5689,38.5392,35.0022,817.66,-1.1248,36.7707,1.2392,0.3822,33.4396,42.5841,972.8775,1.0875,24.9060
tfFroz_cP2,-1.9727,-0.3801,37.3721,35.0060,615.59,-1.1764,36.1891,0.4874,0.0860,25.2515,23.2953,633.7500,0.4287,26.1851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4942,-0.7217,46.9082,38.4354,602.03,-2.1079,42.6718,1.1735,0.2324,23.6465,19.1540,720.0000,1.4578,23.0632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9727,-0.3801,37.3721,35.0060,615.59,-1.1764,36.1891,0.4874,0.0860,25.2515,23.2953,633.7500,0.4287,26.1851
tfFroz_cP3,-1.6732,-0.5089,34.7628,36.7008,570.46,-1.0911,35.7318,0.3982,0.1227,28.1703,22.6743,514.8750,0.5563,24.5845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5857,-0.9667,38.2626,40.4803,602.98,-1.7762,39.3714,0.7117,0.4301,33.8681,27.6143,711.5625,1.1853,23.5588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6732,-0.5089,34.7628,36.7008,570.46,-1.0911,35.7318,0.3982,0.1227,28.1703,22.6743,514.8750,0.5563,24.5845
tfFroz_cP4,-4.5491,0.0668,37.4118,13.3531,579.91,-2.2411,25.3824,1.2090,0.0000,38.2090,16.7265,393.1050,0.8276,18.7921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.5491,0.0668,37.4118,13.3531,579.91,-2.2411,25.3824,1.2090,0.0000,38.2090,16.7265,393.1050,0.8276,18.7921
tfFroz_cP6,-0.0678,0.0968,23.9835,14.7534,556.48,0.0145,19.3684,0.1596,0.1971,22.6829,17.2301,518.3050,0.1784,7.4759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0678,0.0968,23.9835,14.7534,556.48,0.0145,19.3684,0.1596,0.1971,22.6829,17.2301,518.3050,0.1784,7.4759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0678,0.0968,23.9835,14.7534,556.48,0.0145,19.3684,0.1596,0.1971,22.6829,17.2301,518.3050,0.1784,7.4759
tfFroz_cP7,0.2415,0.2405,19.5273,12.7759,389.96,0.2410,16.1516,0.5291,0.5282,12.7885,13.7646,224.5850,0.3068,8.8859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2415,0.2405,19.5273,12.7759,389.96,0.2410,16.1516,0.5291,0.5282,12.7885,13.7646,224.5850,0.3068,8.8859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2415,0.2405,19.5273,12.7759,389.96,0.2410,16.1516,0.5291,0.5282,12.7885,13.7646,224.5850,0.3068,8.8859
tfFroz_cP9,-0.0967,0.0767,18.4320,16.6018,266.19,-0.0100,17.5169,0.5067,0.0000,21.6000,13.6602,269.6250,0.2525,7.9112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0967,0.0767,18.4320,16.6018,266.19,-0.0100,17.5169,0.5067,0.0000,21.6000,13.6602,269.6250,0.2525,7.9112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0967,0.0767,18.4320,16.6018,266.19,-0.0100,17.5169,0.5067,0.0000,21.6000,13.6602,269.6250,0.2525,7.9112
tfFroz_sP8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6055,0.4068,10.9745,9.8695,555.60,0.5062,10.4220,0.3465,0.8036,7.5453,10.4834,185.7175,0.0993,6.8963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6055,0.4068,10.9745,9.8695,555.60,0.5062,10.4220,0.3465,0.8036,7.5453,10.4834,185.7175,0.0993,6.8963,0.6055,0.4068,10.9745,9.8695,555.60,0.5062,10.4220,0.3465,0.8036,7.5453,10.4834,185.7175,0.0993,6.8963
