epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,9.883602,6.041865,185.089142,0.001,126.9663,True
2,7.877282,5.940404,181.18234,0.001,134.5634,True
3,7.349754,5.788378,168.420235,0.001,142.6161,True
4,6.976486,5.588189,171.938427,0.001,146.7993,False
5,6.698678,5.500987,172.88486,0.001,141.2685,False
6,6.418787,5.775478,182.721132,0.001,140.617,False
7,6.237475,5.518157,186.842969,0.001,139.0665,False
8,6.098584,6.103535,209.558883,0.001,138.791,False
9,5.954461,5.856959,206.109498,0.001,140.4642,False
10,5.671492,5.542316,189.119342,0.0005,144.2933,False
11,5.582089,5.88336,200.115219,0.0005,139.3416,False
12,5.515253,5.200719,166.990014,0.0005,138.9664,True
13,5.459896,5.463362,175.005067,0.0005,139.2337,False
14,5.413294,5.429852,178.279848,0.0005,139.1004,False
15,5.353198,5.54691,187.300882,0.0005,138.9388,False
16,5.314537,5.441095,167.672188,0.0005,138.4586,False
17,5.276398,5.127404,164.442313,0.0005,139.5905,True
18,5.237279,5.132579,159.595786,0.0005,140.4188,True
19,5.203489,5.150541,156.712873,0.0005,137.8764,True
20,5.165319,5.583444,176.636522,0.0005,138.593,False
21,5.126574,5.350133,163.835227,0.0005,138.699,False
22,5.096486,5.263105,161.718123,0.0005,140.0871,False
23,5.079456,5.388725,182.504313,0.0005,139.6239,False
24,5.040945,5.354691,170.437894,0.0005,138.6462,False
25,5.018225,5.259744,170.422798,0.0005,137.2438,False
26,4.909824,5.317839,168.550655,0.00025,130.845,False
27,4.891275,5.431799,174.771894,0.00025,131.0943,False
28,4.875212,5.378518,174.517739,0.00025,129.2859,False
29,4.863795,5.376173,174.641864,0.00025,130.0209,False
