test_name,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
window_100ms,-1.1762,-0.3385,34.2835,26.4410,709.00,-0.7573,30.3622,0.4617,0.4539,22.4550,36.4077,594.0000,0.4257,13.4917,0.2921,0.2953,12.7690,10.5533,230.40,0.2937,11.6612,0.7672,0.7509,9.9971,7.2689,139.7150,0.0687,6.7980,-1.7038,-0.4694,37.2148,28.4306,496.00,-1.0866,32.8227,0.5933,0.5086,23.3040,32.3213,430.0000,0.8531,12.6280,0.5485,0.3627,12.7940,11.2859,330.50,0.4556,12.0400,0.3827,0.7668,8.6981,7.4351,223.5000,0.0845,7.8370,-0.4918,-0.0431,24.2555,19.0357,536.70,-0.2675,21.6456,0.7395,0.1192,29.3727,22.4311,447.0000,0.7060,20.4483
window_150ms,-1.5779,-0.2628,37.8273,25.8768,794.59,-0.9204,31.8520,0.5752,0.3291,21.8115,28.4048,925.0625,0.4214,18.8845,0.3227,0.3475,12.2274,10.0474,230.70,0.3351,11.1374,0.7550,0.8207,10.6737,7.3358,95.0000,0.1605,8.2339,-2.2940,-0.4083,40.9290,29.0388,500.26,-1.3511,34.9839,0.6722,0.5088,14.9920,20.2585,280.2500,0.9265,18.1542,0.5698,0.3673,10.5598,12.0901,241.78,0.4686,11.3250,0.4834,0.7775,6.2107,9.8311,62.2250,0.1012,7.9168,-0.6921,0.0217,25.8951,18.4987,558.78,-0.3352,22.1969,0.8324,0.0688,32.5612,20.3955,456.9500,0.6861,22.5640
window_200ms,-2.4966,-0.2855,43.7792,25.7509,595.96,-1.3911,34.7651,0.7530,0.3544,31.2916,41.4566,575.0000,0.5973,25.9238,0.1669,0.2456,15.1482,12.2396,234.21,0.2062,13.6939,0.6814,0.6712,12.6223,9.7796,237.5000,0.1227,8.8885,-3.9430,-0.4079,52.8918,26.1482,345.31,-2.1754,39.5200,1.4928,0.3924,27.5418,41.5148,268.7500,0.8287,23.3676,0.5332,0.3310,13.0964,10.8152,300.00,0.4321,11.9558,0.4354,0.7215,7.8723,8.8705,175.0000,0.0906,8.1452,-1.2552,-0.0380,30.4342,19.4533,466.27,-0.6466,24.9437,0.7673,0.0000,28.5135,24.8871,425.0000,0.6612,23.2579
window_300ms,-2.5992,-0.1813,44.7000,23.6993,560.16,-1.3903,34.1996,1.0687,0.2303,44.2826,36.1009,888.0000,0.5642,25.9404,0.0187,0.2092,17.2334,14.4855,394.67,0.1139,15.8595,0.5620,0.5648,14.9649,13.5842,203.4975,0.1032,10.9523,-4.4570,-0.2327,57.1468,22.5681,361.46,-2.3449,39.8574,1.7770,0.2407,29.6578,37.9049,407.0000,1.0736,25.8104,0.4318,0.3075,15.7481,12.7766,499.50,0.3696,14.2624,0.5949,0.6239,7.9104,7.9184,18.5000,0.1187,9.6393,-1.3790,0.0007,31.8978,19.4047,515.28,-0.6892,25.6513,0.5414,0.0040,32.2733,21.1384,721.5000,0.5852,23.7786
window_500ms,-3.0474,-0.2496,48.9767,24.7290,698.63,-1.6485,36.8529,1.1278,0.4040,48.9284,39.2681,558.0000,0.7906,27.6964,-0.1474,0.0526,21.5244,18.2627,957.12,-0.0474,19.8936,0.1811,0.2004,21.1751,18.1218,232.5000,0.1082,16.3335,-5.1211,-0.3006,63.6677,22.5901,775.00,-2.7108,43.1289,2.0227,0.4600,34.5305,39.3207,651.0000,1.0967,28.2183,0.1293,0.1276,20.6979,17.2837,1054.00,0.1285,18.9908,0.2974,0.2716,17.7029,8.9504,124.0000,0.0659,13.1290,-1.6957,-0.1087,36.1811,21.7151,771.19,-0.9022,28.9481,0.5873,0.0379,37.5067,29.2488,496.0000,0.4458,24.9083
