test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
aug_independent,2,-0.3697,0.0000,48.8450,21.1889,8716.29,-0.1848,35.0170,1.0002,0.0000,16.3208,31.5535,10113.0000,0.5001,20.6968,0.6854,0.0000,19.1755,18.7852,398.08,0.3427,18.9804,0.0653,0.0000,2.2841,12.6779,171.3275,0.0326,5.0143,-0.6433,0.0000,52.8804,26.8108,5679.38,-0.3216,39.8456,0.3916,0.0000,5.3440,11.7882,3169.1250,0.1958,8.4074,0.7206,0.0000,19.6781,9.0425,317.50,0.3603,14.3603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1930,0.0000,33.0213,19.9069,4279.91,0.0965,26.4641,0.7561,0.0000,25.8571,22.4492,4437.5250,0.3780,13.2518
aug_independent,3,-0.0017,0.0000,47.4787,25.9338,2388.86,-0.0009,36.7062,1.0651,0.0000,31.6240,29.0357,2650.5000,0.5325,18.6020,0.7406,0.0000,22.5062,20.9399,377.01,0.3703,21.7230,0.0914,0.0000,4.5086,6.0668,131.0475,0.0457,4.9833,0.0256,0.0000,44.9844,32.5670,2859.75,0.0128,38.7757,0.8762,0.0000,22.9497,22.7242,1134.7500,0.4381,13.6439,0.7595,0.0000,23.2568,18.9300,340.71,0.3797,21.0934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3942,0.0000,34.1600,23.2704,1315.87,0.1971,28.7152,0.3465,0.0000,15.1785,12.1773,1632.1450,0.1733,19.7915
aug_independent,4,-16.9356,0.0000,47.2610,18.7640,8277.86,-8.4678,33.0125,21.4382,0.0000,38.6663,31.8976,11315.2500,10.7191,31.0861,-0.5624,0.0000,10.7651,5.0368,2059.52,-0.2812,7.9009,0.6656,0.0000,3.6179,4.5379,2917.8750,0.3328,4.5767,-27.0778,0.0000,61.1551,18.5942,10476.38,-13.5389,39.8747,43.1603,0.0000,64.3423,24.1149,14790.3750,21.5801,48.1336,0.5611,0.0000,8.3234,3.0896,360.00,0.2806,5.7065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.3787,0.0000,30.4167,12.4284,5407.86,-4.6894,21.4226,4.6960,0.0000,19.4690,9.1776,4693.0000,2.3480,9.3694
aug_independent,5,0.0000,-1.8471,39.4025,33.1382,5360.57,-0.9235,36.2703,0.0000,1.3826,42.7340,7.7345,2862.7500,0.6913,32.4779,0.0000,0.5848,6.4686,10.5884,2012.72,0.2924,8.5285,0.0000,0.0612,1.7714,1.1077,2383.2425,0.0306,1.3446,0.0000,-2.8511,57.9946,38.5147,4370.62,-1.4256,48.2546,0.0000,2.4299,38.6882,15.9479,1594.1250,1.2149,13.2450,0.0000,0.6506,7.2939,11.0605,1943.57,0.3253,9.1772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,-0.7247,24.2022,22.7306,3815.41,-0.3623,23.4664,0.0000,1.7261,20.0199,17.6022,2190.0000,0.8630,18.4620
aug_independent,6,0.0000,-0.0321,35.2489,42.0432,7471.29,-0.0160,38.6461,0.0000,0.5346,34.7614,12.3205,12824.2500,0.2673,24.0739,0.0000,0.7280,9.2087,19.5988,840.99,0.3640,14.4037,0.0000,0.0319,7.3687,1.8946,568.4825,0.0160,3.1433,0.0000,-0.0588,45.2474,41.8434,10146.38,-0.0294,43.5454,0.0000,0.2281,28.7916,9.8796,14367.3750,0.1140,12.7134,0.0000,0.6921,17.5463,21.8492,1103.57,0.3461,19.6977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.3187,23.2303,31.6842,4411.15,0.1594,27.4573,0.0000,0.7436,24.8831,17.8408,3419.5700,0.3718,26.7216
aug_independent,7,-1.9481,-2.8663,30.0103,37.8766,10735.29,-2.4072,33.9435,0.5494,4.5220,4.4082,20.5762,11705.2500,2.6087,13.3272,-0.8845,-0.4706,14.2246,12.7861,2340.64,-0.6776,13.5054,0.6199,0.4696,2.4180,1.9190,3389.1675,0.4340,1.3038,-3.3158,-4.6161,35.2423,46.1406,9520.12,-3.9659,40.6914,3.5752,4.8779,16.9833,18.2646,7793.6250,3.8131,14.1957,0.5487,0.6055,12.2329,11.4384,159.64,0.5771,11.8357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.3809,-1.5886,21.5913,24.4950,6258.14,-1.4847,23.0432,0.5329,2.1517,8.8764,16.2040,6404.0850,1.3888,13.3422
aug_independent,8,-0.4055,-0.6394,47.6203,52.9867,9229.75,-0.5224,50.3035,0.8620,0.4170,16.5342,6.8132,8420.2500,0.6941,10.3003,0.4707,0.5302,26.4524,24.7323,424.77,0.5005,25.5923,0.1550,0.2493,5.0729,7.5762,235.2550,0.1388,2.0636,-0.5378,-0.9284,48.3949,56.5702,11481.50,-0.7331,52.4825,0.8698,0.4564,13.9406,3.1272,8450.2500,0.5503,9.0011,0.5381,0.5205,26.7666,27.2705,593.57,0.5293,27.0185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0618,-0.0156,36.3307,37.9177,4198.34,0.0231,37.1242,1.0418,1.1545,25.9380,27.1907,4437.3400,0.8347,23.0178
aug_independent,9,0.0000,0.0000,31.4762,40.0150,NaN,0.0000,35.7456,0.0000,0.0000,51.1371,67.4984,NaN,0.0000,51.5529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,38.6184,53.0061,NaN,0.0000,45.8123,0.0000,0.0000,52.0855,19.2308,NaN,0.0000,37.0123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,31.4762,40.0150,NaN,0.0000,35.7456,0.0000,0.0000,51.1371,67.4984,NaN,0.0000,51.5529
aug_mixup_only,1,-2.1522,0.0000,34.2209,9.3208,9208.75,-1.0761,21.7708,4.2566,0.0000,23.5163,5.2109,5461.8750,2.1283,13.8031,-4.4434,0.0000,19.5127,15.2779,3346.21,-2.2217,17.3953,4.5919,0.0000,5.5029,6.1563,62.8100,2.2959,4.6028,-3.3308,0.0000,41.2348,2.3004,19588.50,-1.6654,21.7676,2.8592,0.0000,14.4490,1.0169,15358.5000,1.4296,7.7329,0.2387,0.0000,12.8731,10.2536,2308.85,0.1193,11.5633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.1937,0.0000,27.5354,12.0285,6543.96,-1.5968,19.7820,5.6494,0.0000,8.2751,11.0677,4803.2800,2.8247,11.4435
aug_mixup_only,2,-0.2187,0.0000,45.6312,10.3842,11175.21,-0.1093,28.0077,0.6462,0.0000,9.7361,12.5743,9570.0000,0.3231,6.1832,0.6005,0.0000,21.4616,14.5138,1964.71,0.3003,17.9877,0.1354,0.0000,1.6862,8.3268,718.2000,0.0677,3.4922,-0.5527,0.0000,51.6548,7.0083,5935.12,-0.2764,29.3315,0.6895,0.0000,10.1790,5.3552,7048.1250,0.3447,7.7671,0.6652,0.0000,21.5431,13.1679,606.25,0.3326,17.3555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2182,0.0000,32.7407,12.5867,6262.95,0.1091,22.6637,0.6083,0.0000,20.9892,14.5820,8306.8750,0.3041,8.3284
