test_name,movement,collected_Yaw_r2,collected_Pitch_r2,collected_Yaw_rmse,collected_Pitch_rmse,collected_mean_abs_latency_ms,collected_avg_r2,collected_avg_rmse,collected_Yaw_r2_iqr,collected_Pitch_r2_iqr,collected_Yaw_rmse_iqr,collected_Pitch_rmse_iqr,collected_mean_abs_latency_ms_iqr,collected_avg_r2_iqr,collected_avg_rmse_iqr,secondary_Yaw_r2,secondary_Pitch_r2,secondary_Yaw_rmse,secondary_Pitch_rmse,secondary_mean_abs_latency_ms,secondary_avg_r2,secondary_avg_rmse,secondary_Yaw_r2_iqr,secondary_Pitch_r2_iqr,secondary_Yaw_rmse_iqr,secondary_Pitch_rmse_iqr,secondary_mean_abs_latency_ms_iqr,secondary_avg_r2_iqr,secondary_avg_rmse_iqr,collected_benchmark_Yaw_r2,collected_benchmark_Pitch_r2,collected_benchmark_Yaw_rmse,collected_benchmark_Pitch_rmse,collected_benchmark_mean_abs_latency_ms,collected_benchmark_avg_r2,collected_benchmark_avg_rmse,collected_benchmark_Yaw_r2_iqr,collected_benchmark_Pitch_r2_iqr,collected_benchmark_Yaw_rmse_iqr,collected_benchmark_Pitch_rmse_iqr,collected_benchmark_mean_abs_latency_ms_iqr,collected_benchmark_avg_r2_iqr,collected_benchmark_avg_rmse_iqr,secondary_benchmark_Yaw_r2,secondary_benchmark_Pitch_r2,secondary_benchmark_Yaw_rmse,secondary_benchmark_Pitch_rmse,secondary_benchmark_mean_abs_latency_ms,secondary_benchmark_avg_r2,secondary_benchmark_avg_rmse,secondary_benchmark_Yaw_r2_iqr,secondary_benchmark_Pitch_r2_iqr,secondary_benchmark_Yaw_rmse_iqr,secondary_benchmark_Pitch_rmse_iqr,secondary_benchmark_mean_abs_latency_ms_iqr,secondary_benchmark_avg_r2_iqr,secondary_benchmark_avg_rmse_iqr,overall_Yaw_r2,overall_Pitch_r2,overall_Yaw_rmse,overall_Pitch_rmse,overall_mean_abs_latency_ms,overall_avg_r2,overall_avg_rmse,overall_Yaw_r2_iqr,overall_Pitch_r2_iqr,overall_Yaw_rmse_iqr,overall_Pitch_rmse_iqr,overall_mean_abs_latency_ms_iqr,overall_avg_r2_iqr,overall_avg_rmse_iqr
window_150ms,2,-0.1886,0.0000,46.4532,15.3992,712.50,-0.0943,30.9262,0.0989,0.0000,1.7456,22.2390,342.0000,0.0494,12.8155,0.7769,0.0000,15.8739,9.9796,114.00,0.3885,12.9267,0.0766,0.0000,1.5836,6.6135,85.5000,0.0383,3.9540,-0.1430,0.0000,45.0751,19.9857,481.33,-0.0715,32.5304,0.0786,0.0000,1.1543,18.2418,66.5000,0.0393,10.1080,0.9106,0.0000,11.1345,8.0524,NaN,0.4553,9.5935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3263,0.0000,30.1442,12.5087,456.00,0.1632,21.3265,0.8775,0.0000,29.0947,11.2697,351.5000,0.4388,13.8020
window_150ms,3,-0.0760,0.0000,52.5913,15.4935,693.50,-0.0380,34.0424,0.4266,0.0000,12.1921,17.7448,304.0000,0.2133,10.5262,0.7588,0.0000,21.5172,12.0036,276.13,0.3794,16.7604,0.0535,0.0000,1.4635,4.7013,190.0000,0.0267,1.4813,0.0269,0.0000,49.5817,19.2006,418.00,0.0135,34.3911,0.1671,0.0000,5.7055,14.9456,85.5000,0.0836,6.2253,0.8873,0.0000,15.9245,16.5930,209.00,0.4436,16.2587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3692,0.0000,36.0184,13.6322,461.63,0.1846,24.8253,0.7971,0.0000,27.8791,7.4866,266.0000,0.3986,18.4667
window_150ms,4,-11.5225,0.0000,43.4362,11.3307,1026.00,-5.7612,27.3835,15.1499,0.0000,33.6192,18.9658,969.0000,7.5749,16.1039,0.2221,0.0000,7.0913,2.8939,1292.00,0.1110,4.9926,0.2630,0.0000,1.9655,1.3783,NaN,0.1315,0.8837,-16.3143,0.0000,51.9516,12.6140,905.67,-8.1571,32.2828,17.5863,0.0000,29.1667,17.1875,627.0000,8.7931,24.2340,0.8239,0.0000,5.2726,4.2490,NaN,0.4119,4.7608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1019,0.0000,26.6616,7.4368,1079.20,-3.0510,17.0492,11.1466,0.0000,40.7877,2.2047,874.0000,5.5733,19.2529
window_150ms,5,0.0000,-0.5833,35.7265,25.3776,674.50,-0.2916,30.5520,0.0000,0.8846,16.4961,7.6068,627.0000,0.4423,9.6880,0.0000,0.8151,3.2985,6.9097,114.00,0.4076,5.1041,0.0000,0.0583,1.6372,1.4596,57.0000,0.0292,0.7648,0.0000,-0.9705,46.1459,27.9372,342.00,-0.4853,37.0416,0.0000,0.9403,13.3987,4.6968,199.5000,0.4702,4.3509,0.0000,0.8168,2.9785,8.0087,190.00,0.4084,5.4936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0621,20.7597,16.8539,434.29,0.0311,18.8068,0.0000,1.3879,36.1154,19.7907,285.0000,0.6940,29.2730
window_150ms,6,0.0000,-0.2378,26.9426,46.3358,751.69,-0.1189,36.6392,0.0000,0.5289,29.8330,10.3222,566.4375,0.2644,19.7865,0.0000,0.8538,5.2689,14.3263,185.25,0.4269,9.7976,0.0000,0.0442,5.0262,2.6689,242.2500,0.0221,3.0661,0.0000,-0.2727,30.9538,46.1430,489.25,-0.1363,38.5484,0.0000,0.2511,27.1576,7.3702,237.5000,0.1256,15.2107,0.0000,0.7644,9.4955,19.1103,380.00,0.3822,14.3029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.2660,16.9393,31.5622,468.47,0.1330,24.2508,0.0000,1.0451,18.9089,28.1584,293.3125,0.5225,24.6520
window_150ms,7,-1.2376,-1.1244,30.2119,29.0344,760.00,-1.1810,29.6232,1.2590,0.9843,10.9833,7.2915,950.0000,0.8261,6.3601,0.3956,0.3483,9.2970,8.2030,194.75,0.3720,8.7500,0.1957,0.1849,1.4935,1.3559,14.2500,0.1540,1.4272,-1.5384,-1.7948,30.8763,32.7912,399.00,-1.6666,31.8337,2.2438,1.8914,16.8302,9.5976,180.5000,1.1528,8.6940,0.4751,0.8172,13.1939,7.7858,NaN,0.6462,10.4899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3666,-0.3390,19.0573,17.9243,598.50,-0.3528,18.4908,1.5505,1.3034,18.6732,18.2187,703.0000,1.6501,18.6231
window_150ms,8,-0.4465,-0.4195,49.6679,49.9565,798.00,-0.4330,49.8122,0.6739,0.3769,14.3843,9.9398,579.5000,0.1707,5.8120,0.7514,0.7894,18.1255,16.3684,163.78,0.7704,17.2469,0.0832,0.1301,1.4911,3.2757,41.8000,0.0858,1.7868,-0.4984,-0.4322,49.2296,49.0587,430.67,-0.4653,49.1441,0.7342,0.1822,10.6658,6.1214,256.5000,0.2538,8.0122,0.7908,0.5399,18.0155,26.7145,188.10,0.6653,22.3650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1924,0.2252,32.8453,32.0428,445.66,0.2088,32.4441,0.9771,1.3228,27.4112,34.7529,323.0000,1.0959,31.7611
window_150ms,9,0.0000,0.0000,27.2070,20.8790,NaN,0.0000,24.0430,0.0000,0.0000,24.8928,32.0434,NaN,0.0000,17.4779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,25.4390,30.0964,NaN,0.0000,27.7677,0.0000,0.0000,14.1324,12.4973,NaN,0.0000,17.5215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,27.2070,20.8790,NaN,0.0000,24.0430,0.0000,0.0000,24.8928,32.0434,NaN,0.0000,17.4779
window_200ms,1,-2.0460,0.0000,32.5200,21.1731,816.67,-1.0230,26.8465,3.2571,0.0000,19.6519,27.1237,475.0000,1.6286,25.8897,-1.0829,0.0000,12.1335,8.1791,NaN,-0.5414,10.1563,2.6276,0.0000,4.9015,7.0801,NaN,1.3138,4.3861,-4.0704,0.0000,42.4093,11.7962,425.00,-2.0352,27.1028,4.0782,0.0000,20.4171,11.0904,NaN,2.0391,15.7538,0.6403,0.0000,8.8488,2.2944,NaN,0.3201,5.5716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6082,0.0000,23.2534,15.2667,816.67,-0.8041,19.2601,2.6577,0.0000,10.2337,16.1762,475.0000,1.3288,7.6814
window_200ms,2,-0.4563,0.0000,50.1835,10.5308,518.75,-0.2281,30.3571,0.6752,0.0000,11.2341,16.8924,456.2500,0.3376,13.4493,0.7041,0.0000,18.1956,8.3667,125.00,0.3521,13.2811,0.1954,0.0000,3.6676,5.8826,62.5000,0.0977,4.1111,-0.7615,0.0000,54.4920,10.7777,333.33,-0.3808,32.6348,1.0523,0.0000,15.4085,10.4654,262.5000,0.5262,15.5625,0.8571,0.0000,14.0757,3.4325,NaN,0.4285,8.7541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1626,0.0000,33.1233,9.3766,350.00,0.0813,21.2499,0.8363,0.0000,26.6259,9.4777,350.0000,0.4182,11.9408
