epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,8.274562,4.42364,135.284916,0.00025,35.7174,True
2,5.61599,3.921501,112.558442,0.00025,34.2479,True
3,4.931157,3.42637,87.165922,0.00025,34.21,True
4,4.611273,3.241502,83.569776,0.00025,34.2944,True
5,4.319252,3.034484,73.687806,0.00025,34.7768,True
6,4.185147,3.097396,73.300745,0.00025,34.0714,True
7,4.010885,3.016774,67.129107,0.00025,34.1766,True
8,3.928711,2.819662,64.065323,0.00025,34.3894,True
9,3.854652,2.699514,64.362056,0.00025,34.0445,False
10,3.71756,2.780005,61.045066,0.00025,34.1892,True
11,3.729317,2.654779,59.663739,0.00025,34.2811,True
12,3.638245,2.50089,55.283378,0.00025,34.2104,True
13,3.607632,2.58615,55.759528,0.00025,34.3515,False
14,3.546353,2.51245,55.871002,0.00025,34.0199,False
15,3.531973,2.53843,53.757908,0.00025,34.2314,True
16,3.498248,2.562883,54.636695,0.00025,34.3871,False
17,3.46181,2.432239,53.342316,0.00025,34.3535,True
18,3.480653,2.546742,53.716574,0.00025,34.0973,False
19,3.459735,2.359206,49.281488,0.00025,34.7296,True
20,3.41298,2.357896,51.29879,0.00025,34.2539,False
21,3.419662,2.514346,53.882443,0.00025,34.9411,False
22,3.368784,2.424823,50.462955,0.00025,34.4525,False
23,3.379839,2.356763,48.125427,0.00025,26.2286,True
24,3.356682,2.334282,48.999828,0.00025,34.2781,False
25,3.339206,2.310598,46.750192,0.00025,34.5045,True
26,3.340326,2.351701,47.220497,0.00025,34.4758,False
27,3.305001,2.29699,48.42529,0.00025,34.4154,False
28,3.291052,2.350317,46.054788,0.00025,34.623,True
29,3.290724,2.295719,47.524731,0.00025,34.3957,False
30,3.28331,2.281597,44.527613,0.00025,34.7277,True
31,3.253075,2.216915,45.450621,0.00025,34.8681,False
32,3.230703,2.298193,46.277801,0.00025,34.31,False
33,3.243406,2.173395,43.940559,0.00025,34.1065,True
34,3.195701,2.225346,44.100827,0.00025,34.3664,False
35,3.197013,2.192295,42.004195,0.00025,34.2529,True
36,3.184449,2.170379,41.961714,0.00025,33.9133,True
37,3.164906,2.139111,41.575283,0.00025,34.3773,True
38,3.149087,2.117336,42.165105,0.00025,34.4135,False
39,3.130045,2.143058,43.330363,0.00025,34.2987,False
40,3.130889,2.068017,40.240938,0.00025,34.415,True
41,3.094379,2.030956,39.452074,0.00025,34.0267,True
42,3.117191,2.139049,45.805265,0.00025,33.8587,False
43,3.072268,2.048553,40.013644,0.00025,34.1131,False
44,3.076641,2.228208,43.043927,0.00025,34.0664,False
45,3.047875,2.055868,40.237502,0.00025,34.2267,False
46,3.044196,2.03065,39.660947,0.00025,34.0527,False
47,3.01314,2.046707,41.051207,0.00025,34.0597,False
48,2.963702,2.029894,38.629635,0.000125,34.617,True
49,2.98053,1.977579,37.563919,0.000125,34.668,True
50,2.970758,1.951921,37.006417,0.000125,34.7351,True
51,2.949467,2.009797,37.883654,0.000125,34.5784,False
52,2.966054,1.929482,36.785902,0.000125,34.8331,True
53,2.950362,1.963031,38.211635,0.000125,34.5526,False
54,2.958201,1.913074,36.550621,0.000125,35.0006,True
55,2.925038,1.938164,36.952272,0.000125,34.5421,False
56,2.929516,1.942681,36.784288,0.000125,34.7752,False
57,2.929842,1.914257,36.895514,0.000125,34.0736,False
58,2.922833,1.926034,35.838348,0.000125,34.5103,True
59,2.912457,1.963292,36.976902,0.000125,34.4448,False
60,2.90062,1.884986,35.466814,0.000125,34.0774,True
61,2.902796,1.905989,35.666096,0.000125,34.3879,False
62,2.898343,1.885695,35.296959,0.000125,34.0284,True
63,2.891454,1.882281,35.598905,0.000125,34.2396,False
64,2.877796,1.894887,34.985236,0.000125,34.2186,True
65,2.874824,1.893955,35.032181,0.000125,34.2406,False
66,2.874452,1.902635,36.600145,0.000125,34.0491,False
67,2.85182,1.891971,35.186016,0.000125,33.9736,False
68,2.862082,1.958806,36.671149,0.000125,35.2382,False
69,2.870403,1.949551,37.736536,0.000125,36.3785,False
70,2.867989,1.911092,35.484302,0.000125,34.343,False
71,2.841672,1.824099,33.830457,6.25e-05,34.0584,True
72,2.831363,1.853365,34.294583,6.25e-05,34.3788,False
73,2.830308,1.88036,34.413935,6.25e-05,33.9912,False
74,2.844274,1.864034,34.189692,6.25e-05,34.4638,False
75,2.824317,1.841781,33.824683,6.25e-05,34.6475,True
76,2.813493,1.866624,33.965141,6.25e-05,34.9087,False
77,2.82138,1.843694,33.698453,6.25e-05,34.95,True
78,2.812536,1.819353,33.412377,6.25e-05,35.1799,True
79,2.816931,1.836492,33.88749,6.25e-05,34.7296,False
