epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,10.607835,8.313102,383.577444,0.001,764.9034,True
2,8.447523,7.903309,359.832605,0.001,374.5444,True
3,7.849479,8.623111,353.70311,0.001,381.5736,True
4,7.494226,8.56253,351.366991,0.001,302.3431,True
5,7.222824,9.24163,375.49058,0.001,261.3325,False
6,6.992673,9.385594,383.977812,0.001,235.0964,False
7,6.820077,8.710694,326.8663,0.001,231.6988,True
8,6.665285,10.105162,425.643917,0.001,234.1508,False
9,6.549494,8.752035,356.95768,0.001,233.3489,False
10,6.448551,9.245723,382.492939,0.001,237.3185,False
11,6.198356,8.317306,330.794467,0.0005,235.3007,False
12,6.136766,8.411867,339.080332,0.0005,233.1951,False
