epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,6.113413,4.489867,129.666827,0.00025,85.9322,True
2,5.316942,4.001664,135.73253,0.00025,68.8421,False
3,4.951987,3.639626,120.796762,0.00025,86.4355,True
4,4.730056,3.346589,108.843209,0.00025,76.1805,True
5,4.575244,3.214751,100.648709,0.00025,67.7514,True
6,4.536738,3.32916,109.502063,0.00025,66.3616,False
7,4.489865,3.368191,102.735445,0.00025,75.9645,False
8,4.391632,3.039346,87.827094,0.00025,84.4566,True
9,4.367378,3.000143,94.040685,0.00025,83.5215,False
10,4.305383,2.983872,91.436798,0.00025,84.6879,False
11,4.277351,2.954406,85.253851,0.00025,85.6836,True
12,4.23887,2.973718,91.034717,0.00025,83.9892,False
13,4.222663,2.7782,84.832903,0.00025,86.1081,True
14,4.172014,3.171652,99.141183,0.00025,84.8582,False
15,4.13532,2.808929,86.930026,0.00025,87.5235,False
16,4.122636,2.88774,92.49893,0.00025,84.0154,False
17,4.110498,2.744943,92.418782,0.00025,72.6764,False
18,4.104692,2.81975,87.385236,0.00025,68.6458,False
19,4.064753,2.716704,82.314539,0.00025,65.6161,True
20,4.047837,2.668961,84.164937,0.00025,68.6589,False
21,4.036983,2.660868,80.508417,0.00025,67.3838,True
22,4.011444,3.356459,112.905939,0.00025,74.2326,False
23,4.036741,2.759592,79.926339,0.00025,85.8667,True
24,3.998444,2.738879,85.959456,0.00025,83.4925,False
25,3.988524,2.700416,85.99334,0.00025,85.8904,False
26,3.991055,2.574059,78.978586,0.00025,85.8926,True
27,3.94725,2.988268,83.563155,0.00025,86.414,False
28,3.952455,2.882739,81.99054,0.00025,86.6484,False
29,3.940127,2.707708,88.092973,0.00025,86.4058,False
30,3.883608,2.56982,77.840434,0.00025,84.7225,True
31,3.893955,2.930661,96.705016,0.00025,84.5902,False
32,3.891234,2.642714,86.683553,0.00025,84.8218,False
33,3.916353,2.628513,77.720102,0.00025,85.1537,True
34,3.869914,3.212391,122.558063,0.00025,86.0822,False
35,3.836759,2.63775,73.397986,0.00025,86.8726,True
36,3.826623,2.59132,81.519324,0.00025,85.3562,False
37,3.840389,3.046823,94.963995,0.00025,84.7671,False
38,3.826488,2.707533,83.917903,0.00025,85.3188,False
39,3.77801,2.43245,75.474119,0.00025,84.859,False
40,3.791049,2.526758,74.263789,0.00025,87.5187,False
41,3.815683,2.62681,77.228154,0.00025,82.3658,False
42,3.712531,2.523853,82.578651,0.000125,65.2525,False
43,3.695204,2.525743,77.374886,0.000125,65.6457,False
44,3.652794,2.390333,72.740283,0.000125,63.744,True
45,3.686489,2.416174,70.329135,0.000125,63.2887,True
46,3.701918,2.447833,75.054236,0.000125,63.6744,False
47,3.680497,2.703236,80.909827,0.000125,63.8616,False
48,3.655659,2.472137,76.406005,0.000125,66.2486,False
49,3.659754,2.581588,78.238265,0.000125,63.2933,False
50,3.647655,2.485408,79.903049,0.000125,63.3836,False
51,3.657322,2.443441,70.474951,0.000125,62.7801,False
52,3.602052,2.623449,72.713667,6.25e-05,63.1395,False
53,3.622447,2.434758,71.239937,6.25e-05,72.3055,False
54,3.56849,2.382036,68.822571,6.25e-05,65.5482,True
55,3.598725,2.403998,71.400786,6.25e-05,62.9231,False
56,3.587403,2.323498,68.940373,6.25e-05,62.321,False
57,3.585105,2.505311,74.475814,6.25e-05,63.0678,False
58,3.550154,2.421775,68.71559,6.25e-05,63.5762,True
59,3.597347,2.354217,69.092966,6.25e-05,63.3011,False
60,3.58192,2.346342,73.594487,6.25e-05,62.8029,False
61,3.539562,2.431245,70.893741,6.25e-05,62.525,False
62,3.568297,2.318106,70.868963,6.25e-05,60.9223,False
63,3.565915,2.31906,69.927194,6.25e-05,58.9178,False
64,3.546575,2.393106,69.481718,6.25e-05,61.8317,False
65,3.553192,2.29895,68.59882,3.125e-05,63.4484,True
66,3.527135,2.345136,69.974186,3.125e-05,63.4375,False
67,3.52553,2.308463,67.802664,3.125e-05,63.3937,True
68,3.537858,2.334683,72.034521,3.125e-05,63.7262,False
69,3.515454,2.362931,69.434907,3.125e-05,63.1428,False
70,3.521896,2.308031,68.44272,3.125e-05,62.4841,False
71,3.523018,2.329391,71.683397,3.125e-05,60.6526,False
72,3.516297,2.346435,71.005134,3.125e-05,59.589,False
73,3.523507,2.292324,70.544269,3.125e-05,62.6283,False
74,3.489014,2.34326,70.381377,1.5625e-05,62.2774,False
75,3.51243,2.305442,69.763345,1.5625e-05,62.636,False
76,3.493124,2.286864,68.701054,1.5625e-05,62.4171,False
77,3.498907,2.321754,69.815231,1.5625e-05,62.6416,False
78,3.491286,2.321759,69.83473,1.5625e-05,63.0671,False
79,3.511661,2.301339,69.087418,1.5625e-05,63.1405,False
80,3.487949,2.308849,68.714901,7.8125e-06,63.0217,False
81,3.493988,2.297879,68.715544,7.8125e-06,62.6599,False
82,3.486502,2.303899,68.677938,7.8125e-06,63.2718,False
83,3.486773,2.303623,68.762533,7.8125e-06,63.3686,False
84,3.491678,2.315388,68.692283,7.8125e-06,62.3914,False
85,3.504709,2.310259,68.537762,7.8125e-06,62.4516,False
86,3.491968,2.307629,68.656172,3.90625e-06,62.8537,False
87,3.484498,2.303947,68.427617,3.90625e-06,62.6383,False
