epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,10.741521,6.256763,180.674279,0.001,72.5525,True
2,7.911732,6.037332,159.551587,0.001,70.9141,True
3,7.207542,5.025425,125.20131,0.001,80.2847,True
4,6.732975,5.228843,141.37702,0.001,88.1374,False
5,6.408068,5.2617,138.901847,0.001,246.6832,False
6,6.126573,5.25912,154.616137,0.001,338.1027,False
7,5.930158,5.537316,189.326571,0.001,315.6853,False
8,5.755345,5.452588,166.376008,0.001,362.8814,False
9,5.599173,5.547065,189.378487,0.001,346.4882,False
10,5.306862,5.6678,217.110679,0.0005,246.5526,False
11,5.201997,5.363021,191.727211,0.0005,301.2909,False
12,5.107896,5.44195,199.439674,0.0005,168.7631,False
13,5.039293,5.462095,208.874078,0.0005,262.4505,False
