trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,,,,
cP6M8,-0.003,0.2194,39.2281,34.607,38400,,cP6M8,0.5491,-0.0852,26.3031,40.8046,16620,,-0.5521,0.3046,12.925,-6.1976
cP6M9,0,0,5.2512,3.3577,NaN,,cP6M9,0,0,3.3972,1.8886,NaN,,0,0,1.854,1.4691
cP7M2,0.3781,0,32.4711,9.2303,12780,,cP7M2,0.3825,0,32.3581,14.891,39200,,-0.0044,0,0.113,-5.6607
cP7M3,0.2825,0,42.8404,18.9825,34840,,cP7M3,0.5077,0,35.4858,22.384,21280,,-0.2252,0,7.3546,-3.4015
cP7M4,-3.4817,0,27.6176,1.6254,10660,,cP7M4,-5.4826,0,33.2153,2.32,29880,,2.0009,0,-5.5977,-0.6946
cP7M5,0,-0.3724,13.4942,24.0659,30540,,cP7M5,0,-0.3794,12.4435,24.1268,29880,,0,0.007,1.0507,-0.0609
cP7M6,0,0.1437,23.5006,38.313,25380,,cP7M6,0,0.3575,30.7963,33.1888,960,,0,-0.2138,-7.2957,5.1242
cP7M7,0.7128,0.6492,10.7831,11.9168,21760,,cP7M7,0.1053,-0.4197,19.0314,23.9735,240,,0.6075,1.0689,-8.2483,-12.0567
cP7M8,0.3077,0.2259,33.3098,35.2222,38280,,cP7M8,0.4433,-0.2367,29.8702,44.5196,34680,,-0.1356,0.4626,3.4396,-9.2974
cP7M9,0,0,4.5737,8.35,NaN,,cP7M9,0,0,14.9648,2.1444,NaN,,0,0,-10.3911,6.2056
cP8M1,0.656,0,12.1751,1.6372,34980,,cP8M1,0.5383,0,14.1039,1.92,34980,,0.1177,0,-1.9288,-0.2828
cP8M9,0,0,0.9154,0.5497,NaN,,cP8M9,0,0,0.4641,0.6037,NaN,,0,0,0.4513,-0.054
cP9M1,0.687,0,11.6184,2.9917,21080,,cP9M1,0.6166,0,12.858,2.1734,21860,,0.0704,0,-1.2396,0.8183
cP9M2,0.4623,0,30.2908,7.1559,560,,cP9M2,0.6459,0,24.5817,2.4822,22060,,-0.6459,0,-23.6663,-1.9325
cP9M3,0.3878,0,39.4209,15.8862,4420,,cP9M3,0.4281,0,38.1012,2.5494,31020,,0.2589,0,-26.4828,0.4423
cP9M4,-19.1606,0,37.5409,3.7258,22520,,cP9M4,-19.2104,0,37.5873,2.1886,22520,,19.6727,0,-7.2965,4.9673
cP9M5,0,-0.6577,5.3629,27.1476,9000,,cP9M5,0,-0.7085,7.0568,27.5603,9060,,0.3878,0.7085,32.3641,-11.6741
cP9M6,0,-0.214,9.0487,45.8684,680,,cP9M6,0,-0.1646,14.615,44.9258,8800,,-19.1606,0.1646,22.9259,-41.2
cP9M7,0.424,-0.2584,15.6991,23.2033,20700,,cP9M7,0.0097,-0.6223,20.5843,26.3455,28440,,-0.0097,-0.0354,-15.2214,0.8021
cP9M8,0.3261,-0.2807,33.8852,46.7123,520,,cP9M8,0.3309,-0.5726,33.7648,51.7631,17420,,-0.3309,0.3586,-24.7161,-5.8947
cP9M9,0,0,7.8594,1.9415,NaN,,cP9M9,0,0,3.0991,1.7247,NaN,,0.424,-0.2584,12.6,21.4786
,-0.059988889,0.1666,18.05786984,14.49205556,26423.63636,,,-0.123895238,0.104339683,18.7687619,14.94661111,25908.90909,,0.069634921,0.066715873,-1.174555556,-1.170625397
