trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,trial,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,,,,,
sP7M4,-5.4179,0,17.3717,3.2014,15860,,sP7M4,-3.1125,0,13.9059,1.7332,49860,,-2.3054,0,3.4658,1.4682
sP7M5,0,0.7724,6.1416,7.6061,5520,,sP7M5,0,0.7869,2.7104,7.3596,1400,,0,-0.0145,3.4312,0.2465
sP8M1,0.523,0,10.19,4.757,7260,,sP8M1,0.6932,0,8.1714,4.4403,35470,,-0.1702,0,2.0186,0.3167
sP8M2,0.6853,0,20.8846,5.7249,7860,,sP8M2,0.8703,0,13.4089,11.4823,41220,,-0.185,0,7.4757,-5.7574
sP8M3,0.7219,0,25.0087,16.5232,20970,,sP8M3,0.8658,0,17.3732,30.0979,11790,,-0.1439,0,7.6355,-13.5747
sP8M4,-1.4223,0,19.5533,8.891,23800,,sP8M4,0.8283,0,5.2064,1.8477,8490,,-2.2506,0,14.3469,7.0433
sP8M5,0,0.6667,5.981,10.8024,15790,,sP8M5,0,0.814,3.6018,8.0694,15560,,0,-0.1473,2.3792,2.733
sP8M6,0,0.6622,3.9503,22.8842,8790,,sP8M6,0,0.8437,5.9871,15.5648,32110,,0,-0.1815,-2.0368,7.3194
sP8M7,0.659,0.6516,10.6343,10.7493,32540,,sP8M7,0.8618,0.852,6.7696,7.0059,32540,,-0.2028,-0.2004,3.8647,3.7434
sP8M8,0.6141,0.5214,24.4649,27.2446,30330,,sP8M8,0.8185,0.8089,16.7792,17.2161,6490,,-0.2044,-0.2875,7.6857,10.0285
,-0.208352941,0.198696078,18.50314902,13.70170196,22445.6,,,0.030517647,0.26022549,13.30579804,12.36104706,23438.82353,,-0.238870588,-0.061529412,5.19735098,1.340654902
