epoch,train_mae_deg,val_mae_deg,val_mse,learning_rate,epoch_time_s,is_best
1,8.589749,5.201002,122.76129,0.001,1050.7915,True
2,6.626644,4.548739,113.638502,0.001,1095.1734,True
3,5.976317,5.625942,200.607781,0.001,1090.8017,False
4,5.484231,5.558558,180.103293,0.001,1094.9862,False
5,5.171049,5.273565,182.11342,0.001,1103.6131,False
6,4.91615,4.914235,172.819743,0.001,1094.908,False
7,4.747796,4.411489,128.100568,0.001,1091.2687,False
8,4.613723,4.695621,133.863791,0.001,1099.0903,False
9,4.268695,4.357462,131.808125,0.0005,1089.5358,False
10,4.189282,4.629765,145.719398,0.0005,1100.6872,False
11,4.128072,4.30837,125.712765,0.0005,1103.6941,False
12,4.069937,4.716992,152.717552,0.0005,1102.9216,False
